name,type,fee,desc,hours,city
"City Botanical Gardens","Nature",0.00,"Beautiful landscaped gardens highlighting indigenous flora and offering peaceful walking paths.","09:00 - 18:00","Cape Town"
"Table Mountain Aerial Cableway","Landmark",35.00,"Scenic cable car ride to the top of Table Mountain.","08:30 - 19:00","Cape Town"
"Robben Island Museum","Historic",45.00,"Historic prison where Nelson Mandela was held.","09:00 - 17:00","Cape Town"
"Apartheid Museum","Museum",15.00,"Museum illustrating apartheid and the 20th century history of South Africa.","09:00 - 17:00","Johannesburg"
"Constitution Hill","Historic",10.00,"Former prison and military fort, now a museum.","09:00 - 17:00","Johannesburg"
"Eiffel Tower","Landmark",25.00,"Iconic iron lattice tower on the Champ de Mars in Paris.","09:30 - 23:45","Paris"
"Louvre Museum","Museum",17.00,"World's largest art museum and a historic monument in Paris.","09:00 - 18:00","Paris"
"Notre-Dame de Paris","Historic",0.00,"Medieval Catholic cathedral on the Île de la Cité.","08:00 - 18:45","Paris"
"Colosseum","Historic",16.00,"Oval amphitheatre in the centre of the city of Rome.","08:30 - 19:00","Rome"
"Pantheon","Historic",0.00,"Former Roman temple, now a Catholic church.","09:00 - 19:00","Rome"
"Vatican Museums","Museum",17.00,"Christian and art museums located within the city boundaries of the Vatican City.","09:00 - 18:00","Rome"
"Statue of Liberty","Landmark",25.00,"Colossal neoclassical sculpture on Liberty Island.","09:00 - 17:00","New York"
"Central Park","Nature",0.00,"Urban park in New York City located between the Upper West and Upper East Sides of Manhattan.","06:00 - 01:00","New York"
"Metropolitan Museum of Art","Museum",25.00,"Largest art museum in the Americas.","10:00 - 17:00","New York"
"Tokyo Tower","Landmark",15.00,"Communications and observation tower in the Shiba-koen district of Minato, Tokyo.","09:00 - 23:00","Tokyo"
"Senso-ji","Historic",0.00,"Ancient Buddhist temple located in Asakusa, Tokyo.","06:00 - 17:00","Tokyo"
"Meiji Shrine","Historic",0.00,"Shinto shrine that is dedicated to the deified spirits of Emperor Meiji and his wife.","05:00 - 18:00","Tokyo"
"Sydney Opera House","Landmark",30.00,"Multi-venue performing arts centre at Sydney Harbour.","09:00 - 17:00","Sydney"
"Bondi Beach","Nature",0.00,"Popular beach and the name of the surrounding suburb in Sydney.","24/7","Sydney"
"Taronga Zoo","Nature",45.00,"City zoo of Sydney, located on the shores of Sydney Harbour.","09:30 - 17:00","Sydney"
