name,type,fee,desc,hours,city
"City Botanical Gardens","Nature",0.00,"Beautiful landscaped gardens highlighting indigenous flora and offering peaceful walking paths.","09:00 - 18:00","Cape Town"
"Table Mountain Aerial Cableway","Landmark",35.00,"Scenic cable car ride to the top of Table Mountain.","08:30 - 19:00","Cape Town"
"Robben Island Museum","Historic",45.00,"Historic prison where Nelson Mandela was held.","09:00 - 17:00","Cape Town"
"Apartheid Museum","Museum",15.00,"Museum illustrating apartheid and the 20th century history of South Africa.","09:00 - 17:00","Johannesburg"
"Constitution Hill","Historic",10.00,"Former prison and military fort, now a museum.","09:00 - 17:00","Johannesburg"
"Eiffel Tower","Landmark",25.00,"Iconic iron lattice tower on the Champ de Mars in Paris.","09:30 - 23:45","Paris"
"Louvre Museum","Museum",17.00,"World's largest art museum and a historic monument in Paris.","09:00 - 18:00","Paris"
"Notre-Dame de Paris","Historic",0.00,"Medieval Catholic cathedral on the Île de la Cité.","08:00 - 18:45","Paris"
"Colosseum","Historic",16.00,"Oval amphitheatre in the centre of the city of Rome.","08:30 - 19:00","Rome"
"Pantheon","Historic",0.00,"Former Roman temple, now a Catholic church.","09:00 - 19:00","Rome"
"Vatican Museums","Museum",17.00,"Christian and art museums located within the city boundaries of the Vatican City.","09:00 - 18:00","Rome"
"Statue of Liberty","Landmark",25.00,"Colossal neoclassical sculpture on Liberty Island.","09:00 - 17:00","New York"
"Central Park","Nature",0.00,"Urban park in New York City located between the Upper West and Upper East Sides of Manhattan.","06:00 - 01:00","New York"
"Metropolitan Museum of Art","Museum",25.00,"Largest art museum in the Americas.","10:00 - 17:00","New York"
"Tokyo Tower","Landmark",15.00,"Communications and observation tower in the Shiba-koen district of Minato, Tokyo.","09:00 - 23:00","Tokyo"
"Senso-ji","Historic",0.00,"Ancient Buddhist temple located in Asakusa, Tokyo.","06:00 - 17:00","Tokyo"
"Meiji Shrine","Historic",0.00,"Shinto shrine that is dedicated to the deified spirits of Emperor Meiji and his wife.","05:00 - 18:00","Tokyo"
"Sydney Opera House","Landmark",30.00,"Multi-venue performing arts centre at Sydney Harbour.","09:00 - 17:00","Sydney"
"Bondi Beach","Nature",0.00,"Popular beach and the name of the surrounding suburb in Sydney.","24/7","Sydney"
"Taronga Zoo","Nature",45.00,"City zoo of Sydney, located on the shores of Sydney Harbour.","09:30 - 17:00","Sydney"
"Valencia Museum 1",Museum,50.00,"A simulated museum attraction located in Valencia. Generated for load testing purposes.","09:00 - 17:00",Valencia
"Brisbane Royal Palace",Historic,28.00,"Step back in time and walk the ancient grounds where Brisbane's most defining historical moments took place.","9:00 - 18:00",Brisbane
"The Great Vancouver Aviation Museum",Museum,16.00,"Immerse yourself in Vancouver's history with interactive exhibits, rare artifacts, and captivating storytelling.","10:00 - 16:00",Vancouver
"The Great Kyoto Ancient Fort",Historic,0.00,"Step back in time and walk the ancient grounds where Kyoto's most defining historical moments took place.","10:00 - 20:00",Kyoto
"The Great Milan Square",Landmark,0.00,"A masterpiece of engineering and art. No visit to Milan is complete without seeing this majestic structure.","8:00 - 20:00",Milan
"Bali Cultural Centre",Museum,0.00,"Immerse yourself in Bali's history with interactive exhibits, rare artifacts, and captivating storytelling.","8:00 - 18:00",Bali
"The Great Bilbao Tower",Landmark,7.00,"A masterpiece of engineering and art. No visit to Bilbao is complete without seeing this majestic structure.","10:00 - 17:00",Bilbao
"Durban Science Exhibit",Museum,0.00,"Discover the fascinating origins of Durban through beautifully curated galleries and expert-led tours.","9:00 - 19:00",Durban
"Milan Wildlife Sanctuary",Nature,23.00,"Lush green spaces and spectacular panoramic views make this one of Milan's most cherished outdoor destinations.","10:00 - 16:00",Milan
"Leipzig Nature Reserve",Nature,0.00,"Experience the breathtaking natural beauty of Leipzig at this serene location, offering scenic trails and native wildlife.","10:00 - 20:00",Leipzig
"Okinawa Central Plaza",Landmark,42.00,"A masterpiece of engineering and art. No visit to Okinawa is complete without seeing this majestic structure.","10:00 - 17:00",Okinawa
"Nara Museum of Art",Museum,24.00,"Immerse yourself in Nara's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 18:00",Nara
"The Great Malaga Science Exhibit",Museum,0.00,"Immerse yourself in Malaga's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 19:00",Malaga
"Dresden National Park",Nature,0.00,"Lush green spaces and spectacular panoramic views make this one of Dresden's most cherished outdoor destinations.","9:00 - 19:00",Dresden
"Cape Town Castle Ruins",Historic,7.00,"Step back in time and walk the ancient grounds where Cape Town's most defining historical moments took place.","10:00 - 20:00","Cape Town"
"The Great Genoa Old Town Hall",Historic,25.00,"Centuries of history are embedded in the walls of this famous historical site located right in Genoa.","9:00 - 19:00",Genoa
"The Great Adelaide Wildlife Sanctuary",Nature,38.00,"A perfectly preserved natural reserve in the heart of Adelaide. Ideal for hiking, photography, and escaping the urban bustle.","9:00 - 17:00",Adelaide
"Cape Town Central Plaza",Landmark,33.00,"A masterpiece of engineering and art. No visit to Cape Town is complete without seeing this majestic structure.","9:00 - 17:00","Cape Town"
"Kobe Museum of Art",Museum,5.00,"Immerse yourself in Kobe's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 20:00",Kobe
"The Great Nuremberg Nature Reserve",Nature,27.00,"Lush green spaces and spectacular panoramic views make this one of Nuremberg's most cherished outdoor destinations.","8:00 - 19:00",Nuremberg
"Munich Tower",Landmark,21.00,"An iconic symbol of Munich's architectural heritage, standing tall as a testament to the region's rich history.","10:00 - 19:00",Munich
"Genoa Square",Landmark,24.00,"One of the most photographed monuments in Genoa, featuring stunning design and cultural significance.","10:00 - 18:00",Genoa
"Boston Cathedral",Historic,24.00,"Step back in time and walk the ancient grounds where Boston's most defining historical moments took place.","8:00 - 18:00",Boston
"Florence River Walk",Nature,23.00,"A perfectly preserved natural reserve in the heart of Florence. Ideal for hiking, photography, and escaping the urban bustle.","8:00 - 17:00",Florence
"Oxford River Walk",Nature,26.00,"A perfectly preserved natural reserve in the heart of Oxford. Ideal for hiking, photography, and escaping the urban bustle.","10:00 - 16:00",Oxford
"Bilbao Ancient Fort",Historic,44.00,"Centuries of history are embedded in the walls of this famous historical site located right in Bilbao.","10:00 - 18:00",Bilbao
"The Great Hobart Heritage House",Historic,28.00,"Centuries of history are embedded in the walls of this famous historical site located right in Hobart.","10:00 - 19:00",Hobart
"The Great Sydney Heritage House",Historic,0.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Sydney.","9:00 - 18:00",Sydney
"The Great Bilbao Cultural Centre",Museum,0.00,"Discover the fascinating origins of Bilbao through beautifully curated galleries and expert-led tours.","10:00 - 20:00",Bilbao
"Nagoya Museum of Art",Museum,25.00,"Discover the fascinating origins of Nagoya through beautifully curated galleries and expert-led tours.","8:00 - 20:00",Nagoya
